Table 1: Average Sales,Column Labels,,,,,,,,,,
Row Labels,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,Grand Total
Europe,445.9017796,450.2136063,449.4839005,449.6489776,448.6792914,420.4842801,396.2912586,356.7087919,402.4625981,448.873026,422.7525781
France,447.5821858,454.1151528,447.3088096,450.3558421,448.8010401,423.0146261,394.8590452,356.9805576,399.2004154,446.3103493,423.0049719
France,447.5821858,454.1151528,447.3088096,450.3558421,448.8010401,423.0146261,394.8590452,356.9805576,399.2004154,446.3103493,423.0049719
Ranjit R Varkey Chudukatil,447.5821858,454.1151528,447.3088096,450.3558421,448.8010401,423.0146261,394.8590452,356.9805576,399.2004154,446.3103493,423.0049719
Germany,442.2613099,445.5937651,450.6444529,450.2922166,450.1714672,421.1867746,395.0596776,356.2987346,401.7484459,450.735463,422.3799789
Germany,442.2613099,445.5937651,450.6444529,450.2922166,450.1714672,421.1867746,395.0596776,356.2987346,401.7484459,450.735463,422.3799789
Rachel B Valdez,442.2613099,445.5937651,450.6444529,450.2922166,450.1714672,421.1867746,395.0596776,356.2987346,401.7484459,450.735463,422.3799789
United Kingdom,447.8282448,450.9251399,450.5253723,448.2632723,447.0749674,417.2940238,398.9695647,356.844971,406.3732861,449.488747,422.8739546
United Kingdom,447.8282448,450.9251399,450.5253723,448.2632723,447.0749674,417.2940238,398.9695647,356.844971,406.3732861,449.488747,422.8739546
Jae B Pak,447.8282448,450.9251399,450.5253723,448.2632723,447.0749674,417.2940238,398.9695647,356.844971,406.3732861,449.488747,422.8739546
North America,448.9664045,448.4726123,448.9580073,447.79464,448.6945731,420.8594231,396.8397505,357.7582748,403.9232505,448.8352641,422.8731626
Canada,447.8161237,448.2364104,448.9802862,446.7892936,448.0845922,421.068602,397.9091279,355.7637775,405.1502539,447.9846499,422.7091723
Canada,447.8161237,448.2364104,448.9802862,446.7892936,448.0845922,421.068602,397.9091279,355.7637775,405.1502539,447.9846499,422.7091723
Garrett R Vargas,448.6227736,447.7526932,446.9821754,444.2582619,446.8904865,420.0641916,398.3396964,356.321107,405.2346987,450.5165858,422.1914257
José Edvaldo Saraiva,447.0270904,448.7208595,450.9900604,449.293136,449.2960735,422.0628978,397.4756861,355.2008146,405.0648373,445.4270632,423.2279332
United States,449.3277567,448.5438742,448.9511127,448.1013873,448.8817373,420.7952009,396.5096126,358.3665176,403.5465481,449.0965383,422.9235009
Central,447.7704293,450.8413969,449.3435581,447.3274677,446.1126894,421.7340358,399.4367901,361.7428546,406.5708561,447.3721345,423.8290995
Jillian  Carson,447.7704293,450.8413969,449.3435581,447.3274677,446.1126894,421.7340358,399.4367901,361.7428546,406.5708561,447.3721345,423.8290995
Northeast,449.4007679,449.986144,450.5561525,453.2659727,447.2735157,419.0835795,397.0277998,358.4963985,406.5068297,445.5243691,423.3981675
Michael G Blythe,449.4007679,449.986144,450.5561525,453.2659727,447.2735157,419.0835795,397.0277998,358.4963985,406.5068297,445.5243691,423.3981675
Northwest,448.5170146,445.3098361,447.979748,448.9436712,449.7624136,420.4581219,395.68941,357.6526264,403.8431987,448.7531156,422.5058943
David R Campbell,444.6510991,445.5734366,448.0613463,447.9836646,447.1163174,418.3518182,397.4377089,356.980396,399.4321258,449.9675962,421.5347432
Pamela O Ansman-Wolfe,450.4138214,445.3540895,446.7416117,450.8446961,451.3547548,421.5046506,394.8220946,356.7452566,407.2622792,448.2892165,423.0233646
Tete A Mensa-Annan,450.5140894,445.0014981,449.1422915,448.0097982,450.7504191,421.5023343,394.7971251,359.2290301,404.8893687,447.9928527,422.9572786
Southeast,452.8294208,452.244952,447.0525307,447.6184716,448.86872,422.9916594,394.8628564,355.2195335,403.4887681,448.4692045,422.7283665
